排名,up主,视频链接,视频描述,三连量,播放量,排行分数,标签,标题,弹幕数
2733,苏叶Alex,http://www.bilibili.com/video/av328308621,"当两个捉妖法师来到华府

观众姥爷给个一键三连吧！",13,981,981,鬼畜&&搞笑&&唐伯虎点秋香&&bilibili新星计划&&大威天龙&&最强法海,【大威天龙】希望先生人没事,17
2734,不靠谱的45鸽,http://www.bilibili.com/video/av370573391,CODOL素材包 部分问题已经在素材中标出,29,979,979,素材&&枪声音乐&&CODOL&&素材预览&&使命召唤OL&&鬼畜素材&&蜜汁带感&&抖腿向,【CODOL枪乐素材包】包括部分战神系列，传说，史诗，以及近战,3
2735,放浪的小公子,http://www.bilibili.com/video/av710790611,"马保国大师代言的足力健老人鞋！
兄弟们感觉还可以就点个赞吧！新人UP剪个视频不容易啊",18,978,978,搞笑&&马保国,【马保国】代言足力健，接化发老人鞋（想火一次！）,10
2736,挑灯夜战--,http://www.bilibili.com/video/av968002131,变（疯）相（狂）催（迫）更（害）,11,976,976,bilibili新星计划&&RRRRUAAAA&&元首&&鬼畜&&皇室战争,元首对B站皇室战争某知名UP长期拖更的愤怒,13
2737,附中智慧,http://www.bilibili.com/video/av968137271,先做了第一季求赞嘻嘻嘻,36,972,972,bilibili新星计划&&VTUBER&&张京华&&神楽めあ&&帕里&&OVERIDEA_CHINA&&进击的冰糖&&虚拟YOUTUBER&&冰糖&&锤子&&PARYI,【张京华反抗军集结】dd们的崛起第一季,0
2738,小花没钱花,http://www.bilibili.com/video/av925487860,"岛市我老八，撤硕搞嘻哈
BGM：Mt Moon-Sable
关注三连走一走，漂亮对象马上有",15,972,972,bilibili新星计划&&鬼畜调教&&说唱&&老八&&奥利给&&岛市老八&&粑粑&&撤硕&&奥力给&&rap,【撤 硕 新 说 唱】老八炸裂rap单曲《奥利给》,5
2739,Icing不是小甜甜,http://www.bilibili.com/video/av413147107,"四月无意中脑补的坑
想着实现并不难就开坑做了
陆陆续续做到了五月（根本原因是太懒）
中间部分使用了kk的音源，感觉效果还不错。
如果觉得有趣记得三连并且转发啊！！",26,972,972,动物之森&&动森&&搞笑视频&&动物森友会&&游戏视频&&任天堂&&sa&&圣安地列斯&&宣传片&&gta,【动物之森xGTA】动物森友会：圣安地列斯 宣传片,7
2740,我蛤蟆呢,http://www.bilibili.com/video/av413261801,如何评价这段简介？,8,971,971,我的童年经典&&毁童年系列&&鬼畜调教&&自制&&童年&&鬼畜素材&&鬼畜配音&&黑手&&岛市老八&&海绵宝宝,【毁童年】大 闹 影 院,3
2561,秋野真,http://www.bilibili.com/video/av243173396,"BGM：老八秘制小汉堡
拼音师
视频是自制的
音频已有授权",7,1186,1186,bilibili新星计划&&老八&&鬼畜调教&&搞笑&&自制&&岛市老八,老八秘制小汉堡-拼音师,0
2562,gcxue,http://www.bilibili.com/video/av840682590,,18,1185,1185,WINDOWS效果音&&WIN7&&WINDOWS&&MICROSOFT,Windows7 crazy error,10
